id,drupal_id,name,position,email,company_id,migration_status
08528c6d-a975-47e2-860f-37c32f76c94d,1185,"",,"",4d2727f9-5216-4259-9c78-d464b0d5d3f7,success
6c809bd9-f0e4-4681-8028-8d1d20f51a94,1459,"",,"",3e2db50b-0554-4297-b334-30c01ab4c14d,success
2a20bbf5-3ded-428d-9027-b46c19d274a5,847,"",,"",ce2dc261-a960-4a8b-8106-041e4bd5876f,success
b938efa0-3801-4978-886a-89ae54fb73ac,124,"",,"",8d54bda7-239b-4f61-b001-d987fc6edfe9,success
05c0b702-807e-4a76-9979-a10de9011b62,52,"",,"",bac1ca28-5925-478d-a48d-e2a5d45d7b76,success
bbdb8457-0d78-475d-9ff2-ae19b9499093,339,"",,"",e6564be7-85db-432e-96bd-6e6bf0013c88,success
12dc5046-2595-40cb-916a-cacfc4ccfe59,360,"",,"",7afbc2c4-071b-4a9c-be50-1619ec6f3d7b,success
f4f2418e-7ccd-4a3f-bb46-bb77729bc42e,337,"",,"",7c5f6558-f0da-4987-860c-a9195274c5eb,success
9e5ed105-15e5-4b19-82f6-c230cf8c77d0,667,"",,"",b9816427-6bc2-4746-9cea-49d19a465ba9,success
f05efc08-e588-44c9-abec-2e5d87076edc,1052,"",,"",b0c45380-31e1-4e7b-8831-094f8e9eaad0,success
923fd908-08ab-45fd-927e-ff9730d10257,46,"",,"",ae776af6-5dd7-4ab3-a8ff-0146cb89b0db,success
ff4f5a8f-6055-4ff8-a345-40ad77b45e9d,203,"",,"",d973a650-85ab-436a-a4f2-beba48d614e1,success
e7477a75-b56d-43bd-98df-537eb512ea58,275,"",,"",1cc5f821-95a1-435b-ae49-a1470cd02825,success
d035ddff-0dbd-4dc6-bdaf-521b6bd5c220,204,"",,"",a6f9c20c-cefd-4f93-becf-0bd28e1fdd6c,success
2dcb9a90-f31e-4252-8591-b50b25384bc6,435,"",,"",e8aa5e2b-bcec-4c12-a893-ed3e236fc0d5,success
eaa8f3f7-4471-4973-9d64-e83bc282ff95,1006,"",,"",9df6c24a-55a9-4ed8-9f27-6b1fe3abc402,success
3e6a7c4f-28b5-4900-b0c8-8ea4f383a7f1,562,"",,"",d155623f-a601-4724-8062-07f96d4674d1,success
95db240d-2756-4d2f-9285-efe59c3359a7,1119,"",,"",545ef5dc-0fb8-4223-90ce-74b0cc1f94a4,success
74b02327-c6ee-43e4-bec7-11a73948e2eb,499,"",,"",cf523a57-0abf-4bfc-8a41-d0087b44fd8a,success
ff90911b-3cec-434c-b878-0e7fe62edf04,404,"",,"",3f3fea12-2934-4f2e-820c-87a6fff12431,success
f27a58ff-2a20-4c1f-a3fc-d5da2b16d6c3,500,"",,"",6a6aae48-b61a-4389-adab-34a378943ce6,success
8cde1aa6-e029-40e3-acc1-76e37fe54801,32,"",,"",74f54eef-5475-4812-8458-2051d9cb363a,success
04ae46e3-8f29-488a-a1d5-4c8f8a1fa630,747,"",,"",e300ccfb-7c63-482b-8156-8f0dad03f86a,success
5010c697-57a7-4578-bb9a-2ac7359a5b5f,431,"",,"",f4622f80-741e-4a12-978d-5d035fad01be,success
ece32cf3-9d00-45ab-aa03-87242364cd8e,846,"",,"",403c7aa2-103f-4c19-a6ee-a8584144bb2f,success
c414add8-cc57-4740-9179-7d931034d26b,1053,"",,"",968cc911-e1b6-459a-bb75-6a82e8391454,success
8291c200-d1ac-41d9-ac8b-ddeb2866c2b3,881,"",,"",85c198f6-97e4-48b6-97b7-889ec112d1dd,success
d03a6f3b-f09a-470c-8491-0e4e5e47bdc5,1177,"",,"",d1cd87b2-47e8-4213-a3ae-1f03e962bc89,success
86fe35ad-a43d-46c7-afad-e7ccfa466d0a,1457,"",,"",5702d22f-28e3-4011-b385-0ed5cba7eec4,success
e4fa1c4c-613c-46bc-b219-f107a49ce6ba,212,"",,"",8b73a17b-d16f-4222-8abd-f327ea5cb957,success
dc825f92-1839-43bf-832b-b78b007418c2,1245,"",,"",3089e7c9-1ff9-4f7b-89e7-325f7f47c39a,success
0ca761ac-cdb4-42a5-a763-08706bf6a2b8,198,"",,"",af41c626-390c-4de3-a80d-63066dbf2a46,success
6f7aa004-17f8-4dec-98fd-0af9c6d0759b,1186,"",,"",2b21ab54-4b30-42d8-a029-f14ff579f34a,success
a81bfbfa-2367-46c5-92bf-0e66b962fd9f,1219,"",,"",6438c085-b0b2-4da7-9f63-1cb1ad5bf68e,success
2d281cd6-3dd9-4620-9f83-6a746e518ff2,1150,"",,"",64dcbcae-3be7-4d8b-a05c-3e6b61f4120a,success
a54225ab-bab8-4226-83b9-55fb86a739be,264,"",,"",dcc5110c-f1f7-41ae-8f58-21627945925a,success
198fc014-50f6-4ea7-aa28-a42bef51b3a7,472,"",,"",ce4bbf56-8a43-40e3-a71a-0c2941d63023,success
00cc7b87-d607-4d52-b0d9-cdda42d4f7c0,20,"",,"",c7cb6f39-a749-4ebc-8335-7639d18cf03e,success
96f5b68f-6da6-4055-9309-6c7156305304,698,"",,"",2253cbd7-becd-47f4-a402-7834680643b7,success
428c7b86-c668-4d67-a479-31842c5965c7,543,"",,"",f05f01be-c580-475c-a9af-9e83fbeddb6b,success
207512a6-6008-4233-be8d-dcc6cb29e4d4,916,"",,"",b24a9e9f-77cb-457e-a367-7db5bb737103,success
654f4729-2c9f-48e1-9a8f-5a72fd6c92e1,541,"",,"",54f6a248-26c0-49ec-804c-8efa5d7a0e09,success
ebeb919b-c23d-4892-acd4-f67fa2e192dc,1402,"",,"",ad31b0c1-159e-4fa4-8ee6-316a61d061e2,success
d05d9a4b-d660-437d-84f0-b163f69e2e5b,403,"",,"",8a07d36b-b16d-4d76-b0af-4598c1684be1,success
